gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw
77,"Alisson Ramses Becker, Bukayo Saka, Cristian Romero, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Luis Diaz, Mateo Kovacic, Mohamed Salah, Ola Aina, Pedro Porro","Bukayo Saka, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Pedro Porro",Mohamed Salah,Bukayo Saka,,,44.0,0,1,527.3009999999999,,1000.0,126.241
78,"Alisson Ramses Becker, Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Joel Veltman, Kai Havertz, Luis Diaz, Max Kilman, Mohamed Salah, Noni Madueke, Ola Aina, Son Heung-min","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Luis Diaz, Max Kilman, Mohamed Salah, Noni Madueke, Ola Aina, Son Heung-min",Noni Madueke,Cole Palmer,"Cole Palmer, Max Kilman, Noni Madueke, Son Heung-min","Bukayo Saka, Joelinton Cassio Apolinario de Lira, Mateo Kovacic, Pedro Porro",0.0,2,2,526.6949999999998,,44.0,161.731
79,"Alisson Ramses Becker, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Joel Veltman, Kai Havertz, Lucas Digne, Luis Diaz, Mohamed Salah, Ola Aina, Robert Sanchez","Alisson Ramses Becker, Bryan Mbeumo, Dominic Calvert-Lewin, Erling Haaland, Harvey Barnes, Joel Veltman, Kai Havertz, Lucas Digne, Luis Diaz, Mohamed Salah, Ola Aina",Mohamed Salah,Erling Haaland,"Bryan Mbeumo, Dominic Calvert-Lewin, Gabriel dos Santos Magalhaes, Harvey Barnes, Lucas Digne, Robert Sanchez","Cristian Romero, Danny Welbeck, David Raya Martin, Max Kilman, Noni Madueke, Son Heung-min",29.0,5,1,501.4979999999998,,0.0,109.77099999999999
80,"Alisson Ramses Becker, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Joel Veltman, Luis Diaz, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Joel Veltman, Ola Aina, Ollie Watkins, Robert Sanchez",Robert Sanchez,Gabriel dos Santos Magalhaes,"Dwight McNeil, Jean-Philippe Mateta, Ollie Watkins, Trent Alexander-Arnold","Dominic Calvert-Lewin, Kai Havertz, Lucas Digne, Mohamed Salah",55.0,3,1,519.4129999999998,,29.0,122.541
81,"Alisson Ramses Becker, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Joel Veltman, Luis Diaz, Nicolas Jackson, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Nicolas Jackson, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold",Nicolas Jackson,Luis Diaz,Nicolas Jackson,Jean-Philippe Mateta,53.0,0,1,499.13699999999983,,55.0,127.625
82,"Alisson Ramses Becker, Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Joel Veltman, Josko Gvardiol, Liam Delap, Mohamed Salah, Nicolas Jackson, Ollie Watkins, Rayan Ait-Nouri, Robert Sanchez, Trent Alexander-Arnold","Alisson Ramses Becker, Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Liam Delap, Mohamed Salah, Ollie Watkins, Rayan Ait-Nouri",Cole Palmer,Dwight McNeil,"Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Liam Delap, Mohamed Salah, Rayan Ait-Nouri","Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Ola Aina",107.0,5,1,475.84799999999973,,53.0,133.555
83,"Bryan Mbeumo, Bukayo Saka, Chris Wood, James Justin, Jarrod Bowen, Jordan Pickford, Josko Gvardiol, Lucas Digne, Mateo Kovacic, Matz Sels, Michail Antonio, Mohamed Salah, Nicolas Jackson, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Bukayo Saka, Chris Wood, James Justin, Jarrod Bowen, Jordan Pickford, Lucas Digne, Mateo Kovacic, Michail Antonio, Rayan Ait-Nouri, Trent Alexander-Arnold",Michail Antonio,Bukayo Saka,"Bukayo Saka, Chris Wood, Jarrod Bowen, Jordan Pickford, Lucas Digne, Mateo Kovacic, Matz Sels, Michail Antonio","Alisson Ramses Becker, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Joel Veltman, Liam Delap, Ollie Watkins, Robert Sanchez",149.0,7,1,453.8689999999998,,107.0,118.64099999999999
84,"Bryan Mbeumo, Bukayo Saka, Chris Wood, Curtis Jones, Danny Welbeck, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Lucas Digne, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Nicolas Jackson, Rayan Ait-Nouri","Chris Wood, Curtis Jones, Danny Welbeck, Josko Gvardiol, Justin Kluivert, Lucas Digne, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Nicolas Jackson",Michael Keane,Curtis Jones,"Curtis Jones, Danny Welbeck, Justin Kluivert, Michael Keane, Milos Kerkez","James Justin, Jarrod Bowen, Mateo Kovacic, Michail Antonio, Trent Alexander-Arnold",200.0,4,1,454.66899999999987,,149.0,103.325
85,"Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Lucas Digne, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Nicolas Jackson, Rayan Ait-Nouri","Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Josko Gvardiol, Lucas Digne, Matz Sels, Mohamed Salah, Nicolas Jackson, Rayan Ait-Nouri",Bryan Mbeumo,Chris Wood,Alex Iwobi,Curtis Jones,198.0,0,1,490.99699999999973,,200.0,117.332
86,"Alexander Isak, Bruno Borges Fernandes, Bukayo Saka, Chris Wood, Dominic Solanke, Harry Wilson, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Leif Davis, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina, Rayan Ait-Nouri","Alexander Isak, Bruno Borges Fernandes, Chris Wood, Dominic Solanke, Harry Wilson, Josko Gvardiol, Leif Davis, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina",Dominic Solanke,Ola Aina,"Alexander Isak, Bruno Borges Fernandes, Dominic Solanke, Harry Wilson, Leif Davis, Ola Aina","Alex Iwobi, Bryan Mbeumo, Danny Welbeck, Lucas Digne, Michael Keane, Nicolas Jackson",175.0,5,1,522.7169999999998,,198.0,109.541
