gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
77,"Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Fabian Schar, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pedro Porro, Son Heung-min","Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Erling Haaland, Fabian Schar, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Son Heung-min",Bukayo Saka,Erling Haaland,,,26.0,0,1,815.7519657577187,,1000.0,58.4482730794345,66,50,12.0,62
78,"Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Jordan Pickford, Kieran Trippier, Mohamed Salah, Ollie Watkins, Pedro Porro, Phil Foden, Son Heung-min, Trent Alexander-Arnold","Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Erling Haaland, Kieran Trippier, Mohamed Salah, Ollie Watkins, Pedro Porro, Phil Foden, Son Heung-min",Erling Haaland,Mohamed Salah,"Phil Foden, Trent Alexander-Arnold","Fabian Schar, Martin Odegaard",0.0,0,2,813.680810145772,,26.0,58.06376053227796,77,64,17.0,81
79,"Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pedro Porro, Phil Foden, Trent Alexander-Arnold","Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Erling Haaland, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden",Erling Haaland,Bukayo Saka,Martin Odegaard,Son Heung-min,16.0,0,1,815.1234146587195,,0.0,57.785130229513456,64,54,17.0,71
80,"Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Ezri Konsa Ngoyo, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold","Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Erling Haaland, Ezri Konsa Ngoyo, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold",Mohamed Salah,Ollie Watkins,Ezri Konsa Ngoyo,Pedro Porro,26.0,0,1,811.391583028194,,16.0,58.80023905938481,56,45,2.0,47
81,"Benjamin White, Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Ezri Konsa Ngoyo, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min, Trent Alexander-Arnold","Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Ezri Konsa Ngoyo, Kieran Trippier, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min",Mohamed Salah,Ollie Watkins,Son Heung-min,Bruno Borges Fernandes,9.0,0,1,812.0708329738399,,26.0,56.19397018288561,74,60,5.999999999999999,66
82,"Benjamin White, Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, James Tarkowski, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min, Trent Alexander-Arnold","Benjamin White, Bukayo Saka, Daniel Munoz, Erling Haaland, James Tarkowski, Jordan Pickford, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min",Bukayo Saka,Martin Odegaard,James Tarkowski,Ezri Konsa Ngoyo,6.0,0,1,815.0790425589638,,9.0,56.84723189488707,46,32,3.0,35
83,"Benjamin White, Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, James Tarkowski, Jarrod Bowen, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold","Benjamin White, Bukayo Saka, Erling Haaland, Jarrod Bowen, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Trent Alexander-Arnold",Bukayo Saka,Erling Haaland,Jarrod Bowen,Son Heung-min,31.0,0,1,816.5798216980891,,6.0,60.73610453825291,84,68,16.0,84
84,"Benjamin White, Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, James Tarkowski, Jordan Pickford, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min, Trent Alexander-Arnold","Benjamin White, Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Son Heung-min",Mohamed Salah,Erling Haaland,Son Heung-min,Jarrod Bowen,7.0,0,1,810.9981828016086,,31.0,59.398602261854656,56,38,12.0,50
85,"Benjamin White, Bernd Leno, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, James Tarkowski, Jordan Pickford, Josko Gvardiol, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min","Benjamin White, Bernd Leno, Bukayo Saka, Erling Haaland, Josko Gvardiol, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min",Erling Haaland,Ollie Watkins,Josko Gvardiol,Trent Alexander-Arnold,17.0,0,1,807.5249660549892,,7.0,58.892007273504596,56,46,6.0,52
86,"Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Dominic Solanke, Erling Haaland, James Tarkowski, Jordan Pickford, Josko Gvardiol, Kieran Trippier, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min","Benjamin White, Bernd Leno, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Erling Haaland, James Tarkowski, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min",Mohamed Salah,Ollie Watkins,Bruno Borges Fernandes,Martin Odegaard,17.0,0,1,810.0764219459719,,17.0,53.52958279985736,63,38,9.0,47
