gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
77,"Alisson Ramses Becker, Benjamin White, Brennan Johnson, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Oliwier Zych, Ollie Watkins","Alisson Ramses Becker, Benjamin White, Brennan Johnson, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Erling Haaland, Fabian Schar, Martin Odegaard, Mohamed Salah, Ollie Watkins",Martin Odegaard,Bukayo Saka,,,0.0,0,1,59.18214167811879,,1000.0,59.18214167811879,66,59,3.0,62
78,"Alisson Ramses Becker, Benjamin White, Brennan Johnson, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross, Phil Foden","Alisson Ramses Becker, Benjamin White, Brennan Johnson, Erling Haaland, Fabian Schar, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pascal Gross, Phil Foden",Erling Haaland,Ollie Watkins,"Pascal Gross, Phil Foden","Bruno Borges Fernandes, Bukayo Saka",25.0,0,2,54.68469901485387,,0.0,54.68469901485387,49,47,17.0,64
79,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross, Phil Foden","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Dan Burn, Erling Haaland, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden",Erling Haaland,Martin Odegaard,Bruno Borges Fernandes,Brennan Johnson,5.0,0,1,53.170762080701465,,25.0,53.17076208070146,54,53,17.0,70
80,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jarrod Bowen, Julian Alvarez, Kieran Trippier, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross, Phil Foden","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Dan Burn, Erling Haaland, Jarrod Bowen, Kieran Trippier, Mohamed Salah, Ollie Watkins, Pascal Gross, Phil Foden",Erling Haaland,Mohamed Salah,Jarrod Bowen,Martin Odegaard,13.0,0,1,57.84066562197612,,5.0,57.84066562197613,67,48,13.0,61
81,"Alisson Ramses Becker, Benjamin White, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jarrod Bowen, Julian Alvarez, Kaoru Mitoma, Kieran Trippier, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross, Phil Foden","Alisson Ramses Becker, Benjamin White, Dan Burn, Erling Haaland, Jarrod Bowen, Kaoru Mitoma, Kieran Trippier, Mohamed Salah, Ollie Watkins, Pascal Gross, Phil Foden",Mohamed Salah,Erling Haaland,Kaoru Mitoma,Bruno Borges Fernandes,29.0,0,1,57.35924366911361,,13.0,57.35924366911361,42,32,5.999999999999999,38
82,"Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jarrod Bowen, Julian Alvarez, Kaoru Mitoma, Kieran Trippier, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross","Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Erling Haaland, Jarrod Bowen, Julian Alvarez, Kieran Trippier, Mohamed Salah, Ollie Watkins, Pascal Gross",Bukayo Saka,Mohamed Salah,Bukayo Saka,Phil Foden,21.0,0,1,50.17467652289954,,29.0,50.17467652289953,37,34,3.0,37
83,"Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jarrod Bowen, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross","Alisson Ramses Becker, Benjamin White, Bukayo Saka, Erling Haaland, Fabian Schar, Jarrod Bowen, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pascal Gross",Bukayo Saka,Erling Haaland,Martin Odegaard,Kaoru Mitoma,5.0,0,1,57.69248856106526,,21.0,57.69248856106526,72,58,16.0,74
84,"Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jordan Ayew, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Oliwier Zych, Ollie Watkins, Pascal Gross","Alisson Ramses Becker, Benjamin White, Bukayo Saka, Diogo Dalot Teixeira, Erling Haaland, Jordan Ayew, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins",Mohamed Salah,Bukayo Saka,Jordan Ayew,Jarrod Bowen,27.0,0,1,55.234099349442246,,5.0,55.234099349442246,32,29,12.0,41
85,"Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jordan Ayew, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Oliwier Zych, Ollie Watkins, Phil Foden","Alisson Ramses Becker, Benjamin White, Bukayo Saka, Diogo Dalot Teixeira, Erling Haaland, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden",Bukayo Saka,Ollie Watkins,Phil Foden,Pascal Gross,0.0,0,1,57.84991414940503,,27.0,57.84991414940503,36,35,9.0,44
86,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Jordan Ayew, Julian Alvarez, Kieran Trippier, Mohamed Salah, Oliwier Zych, Ollie Watkins, Phil Foden","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Diogo Dalot Teixeira, Erling Haaland, Julian Alvarez, Kieran Trippier, Mohamed Salah, Ollie Watkins, Phil Foden",Mohamed Salah,Bruno Borges Fernandes,Bruno Borges Fernandes,Martin Odegaard,0.0,0,1,56.00826555020501,,0.0,56.00826555020501,47,29,9.0,38
