GW,player_id,name,position,team,value,opponent_display,is_home_display,num_fixtures,predicted_points
32,986,Nicolas Jackson,fwd,Chelsea,70,Man City (DGW),0 (DGW),2,7.24
32,247,Cole Palmer,mid,Man City,45,Man City (DGW),0 (DGW),2,6.06
32,176,Bukayo Saka,mid,Arsenal,80,Brentford,1,1,5.57
32,374,Erling Haaland,fwd,Man City,115,Everton,1,1,5.46
32,866,Martin Odegaard,mid,Arsenal,65,Brentford,1,1,5.06
32,1048,Phil Foden,mid,Man City,80,Everton,1,1,4.9
32,943,Mohamed Salah,mid,Liverpool,130,Newcastle,0,1,4.64
32,298,Declan Rice,mid,West Ham,50,Brentford,1,1,4.6
32,254,Conor Gallagher,mid,Chelsea,60,Man City (DGW),0 (DGW),2,4.58
32,419,Gabriel Martinelli Silva,mid,Arsenal,60,Brentford,1,1,4.56
32,728,Kieran Trippier,def,Newcastle,50,Wolves,0,1,4.54
32,1034,Pascal Gross,mid,Brighton,55,Leicester,1,1,4.51
32,171,Bruno Borges Fernandes,mid,Man United,100,Aston Villa,1,1,4.38
32,147,Benjamin White,def,Arsenal,45,Brentford,1,1,4.35
32,1014,Ollie Watkins,fwd,Aston Villa,75,Southampton,0,1,4.3
32,44,Alexander Isak,fwd,Newcastle,70,Wolves,0,1,4.14
32,1301,William Saliba,def,Arsenal,45,Brentford,1,1,4.01
32,1094,Rodrigo Hernandez,mid,Man City,60,Everton,1,1,3.92
32,492,Ilkay Gundogan,mid,Man City,75,Everton,1,1,3.86
32,89,Anthony Gordon,mid,Everton,55,Wolves,0,1,3.79
32,387,Fabian Schar,def,Newcastle,45,Wolves,0,1,3.76
32,469,Harvey Barnes,mid,Leicester,70,Wolves,0,1,3.72
32,931,Miguel Almiron Rejala,mid,Newcastle,50,Wolves,0,1,3.72
32,173,Bruno Guimaraes Rodriguez Moura,mid,Newcastle,60,Wolves,0,1,3.71
32,947,Morgan Gibbs-White,mid,Wolves,55,Liverpool,0,1,3.69
32,266,Dan Burn,def,Newcastle,45,Wolves,0,1,3.59
32,1160,Sean Longstaff,mid,Newcastle,45,Wolves,0,1,3.53
32,684,Josko Gvardiol,def,Man City,50,Everton,1,1,3.52
32,45,Alexis Mac Allister,mid,Brighton,55,Newcastle,0,1,3.51
32,294,David Raya Martin,gk,Brentford,45,Brentford,1,1,3.47
32,753,Leandro Trossard,mid,Brighton,65,Brentford,1,1,3.42
32,887,Mathis Amougou,mid,Chelsea,45,Man City (DGW),0 (DGW),2,3.42
32,53,Alisson Ramses Becker,gk,Liverpool,55,Newcastle,0,1,3.41
32,74,Andreas Hoelgebaum Pereira,mid,Fulham,45,Chelsea,0,1,3.38
32,618,Joao Pedro Junqueira de Jesus,fwd,Brighton,55,Leicester,1,1,3.34
32,71,Andre Onana,gk,Man United,50,Aston Villa,1,1,3.33
32,659,Jordan Pickford,gk,Everton,45,Bournemouth,0,1,3.33
32,720,Kevin De Bruyne,mid,Man City,120,Everton,1,1,3.32
32,696,Justin Kluivert,mid,Bournemouth,50,Fulham,1,1,3.28
32,31,Alex Iwobi,mid,Everton,55,Chelsea,0,1,3.27
32,338,Dwight McNeil,mid,Everton,55,Bournemouth,0,1,3.26
32,1263,Tyrique George,mid,Chelsea,45,Man City (DGW),0 (DGW),2,3.25
32,150,Bernd Leno,gk,Fulham,45,Chelsea,0,1,3.24
